floor,floors_count,rooms_count,total_meters,price_per_month,district,street,house_number,underground,lat,lon,geo_quality,dist_to_center_km,dist_to_metro_km,parks_1km,groceries_top_1km,schools_1km,pharmacies_top_1km,clinics_1km
14,17,2,66.0,70000,Измайлово,Сиреневый бульвар,4К3,Черкизовская,55.8019455,37.7668748,1,10.86650644642918,1.3788505087223002,4,9,2,1,0
3,5,2,47.0,70000,Академический, Винокурова,15К1,Крымская,55.6866107,37.5926799,1,7.437760030152425,0.8611415756488122,3,2,8,1,4
3,23,1,42.0,70000,Раменки,Мичуринский проспект,13к3,Раменки,55.6971808,37.5126801,1,8.959525648109327,0.4960637656519407,2,2,6,1,7
3,5,2,45.0,70000,Пресненский,Шелепихинское шоссе,7К2,Шелепиха,55.7567995,37.5207109,1,6.079659764923021,0.3164344226417343,0,3,1,1,0
15,17,2,60.0,70000,Отрадное, Декабристов,28К2,Отрадное,55.8602271,37.6158282,1,12.032199980588336,0.8083330050424833,0,6,5,0,3
8,12,2,51.0,70000,Теплый Стан, Теплый Стан,15К5,Генерала Тюленева,55.6210967,37.4885017,1,16.65313724946735,0.593414329629529,0,3,6,1,1
8,12,2,52.0,70000,Северное Бутово,Ратная ,10К2,Бульвар Дмитрия Донского,55.575256,37.5778937,1,19.81193340382189,0.7871880566178442,3,7,1,0,2
13,16,1,26.0,70000,Басманный,Старая Басманная ,24,Курская,55.7675713,37.6668735,1,3.5400288732726715,2.999328685826117,3,4,5,1,5
5,25,1,40.0,70000,Московский, Саларьевская,9,Саларьево,55.6170865,37.4164401,1,19.595335123234285,0.7841815048144157,0,0,1,1,1
8,17,1,42.0,70000,Сосенское,проспект Куприна,18к1,Потапово,55.5469402,37.48912,1,24.18489202474296,0.6333239534501979,0,3,0,0,0
2,18,1,41.4,70000,Сосенское, Красулинская,24,Филатов луг,55.6066424,37.4125739,1,20.64915168254704,0.8351686906342193,0,0,0,1,0
5,16,1,34.0,70000,Бескудниковский,Бескудниковский бульвар,4,Верхние Лихоборы,55.8690464,37.5553127,1,13.580167671331568,1.5604765392300788,3,9,5,0,7
2,9,3,60.0,70000,Марьино,Новочеркасский бульвар,22,Марьино,55.6452064,37.7214004,1,13.544919448113944,1.4752019012982451,3,6,5,0,1
7,17,2,51.5,70000,Северное Бутово,бульвар Дмитрия Донского,8,Бульвар Дмитрия Донского,55.5679825,37.5739444,1,20.64592182162661,0.1846649931877663,3,11,9,4,3
8,22,1,25.0,70000,Коптево,Старокоптевский переулок,4,Коптево,55.8359222,37.5190382,1,11.176548775946497,0.4177483666121483,0,1,3,0,2
9,33,1,22.3,70000,Очаково-Матвеевское, Малая Очаковская,4Ак1,Озёрная,55.6704744,37.4412928,0,14.2851221379912,0.5201007106090157,0,3,0,0,0
8,12,2,54.0,70000,Нагатинский затон, Речников,14К2,Кленовый бульвар,55.6845988,37.6928644,1,8.859426139130338,1.3579292655097603,4,5,4,0,3
