floor,floors_count,rooms_count,total_meters,price_per_month,district,street,house_number,underground,lat,lon,geo_quality
4,19,1,19.7,40000,Митино,Муравская ,38Бк3,Пятницкое шоссе,55.8608767,37.3636549,0
14,14,1,19.0,36800,Филимонковское, Усадебный Парк,7,Филатов Луг,55.5705313,37.2829889,1
2,19,1,19.0,40000,Митино,Муравская ,38Бк3,Пятницкое шоссе,55.8608767,37.3636549,0
4,16,1,22.0,40000,Филимонковское,проспект Новосередневский,17к1,Филатов Луг,55.5560485,37.3133849,1
3,5,1,33.0,40000,Преображенское,Большая Черкизовская ,30К3,Черкизовская,55.7986435,37.7420814,1
2,2,1,11.0,35000,Люблино,Егорьевский проезд,3ЖС1,Депо,55.6714755,37.7347991,0
4,5,1,36.0,35000,Черемушки, Архитектора Власова,13К4,Профсоюзная,55.6774762,37.5552546,1
9,15,1,34.3,37000,Кокошкино, Аэростатная,15к10,Кокошкино,55.5881182,37.1731781,1
9,19,1,36.0,39000,Некрасовка,Рождественская ,6,Некрасовка,55.6998482,37.9141358,1
6,16,1,32.0,40000,Марфино,Ботаническая ,33К8,Владыкино,55.840218,37.5849927,1
1,16,1,36.0,35000,Гольяново,Красноярская ,1,Щёлковская,55.8161779,37.8349541,1
5,14,1,42.0,40000,Братеево, Борисовские Пруды,44,Алма-Атинская,55.643367,37.7725891,1
7,17,1,38.0,40000,Десёновское,проспект Нововатутинский,14,Ольховая,55.5201789,37.3494049,1
13,22,1,38.0,40000,Строгино,Таллинская ,26,Строгино,55.7998709,37.4075292,1
22,24,1,39.9,33000,Косино-Ухтомский,Лухмановская ,20,Лухмановская,55.7208004,37.9038769,1
15,17,1,38.0,32000,Троицк, Текстильщиков,3к3,Ольховая,55.4904566,37.3071388,1
12,12,1,33.0,40000,Северное Тушино, Свободы,63,Сходненская,55.8546463,37.4490046,1
6,9,1,36.0,33000,Ярославский,Холмогорская ,2К1,Медведково,55.8808766,37.7185503,1
3,9,1,33.0,35000,Гольяново,Алтайская ,26,Щёлковская,55.819827,37.822275,1
