"author","author_type","url","location","deal_type","accommodation_type","floor","floors_count","rooms_count","total_meters","price_per_month","commissions","district","street","house_number","underground","residential_complex"
"Евгений Черняк","realtor","https://www.cian.ru/rent/flat/305909990/","Москва","rent","flat","7","18","1","47","45990","0",""," Ленина","12","Кокошкино",""
"Ольга Ливадина","realtor","https://www.cian.ru/rent/flat/315202137/","Москва","rent","flat","3","12","1","36","45999","0","Строгино"," Кулакова","25К1","Строгино",""
"Александр Шорин","realtor","https://www.cian.ru/rent/flat/315916242/","Москва","rent","flat","29","33","1","21.6","45500","0","Царицыно","Кавказский бульвар","51к2","Кантемировская",""
"МТМ-Недвижимость","real_estate_agent","https://www.cian.ru/rent/flat/317833779/","Москва","rent","flat","5","5","2","45","46000","0","Северное Измайлово","13-я Парковая ","37К3","Щёлковская",""
"Ильдар Сайтханов","realtor","https://www.cian.ru/rent/flat/291608629/","Москва","rent","flat","16","17","1","37","46000","0","Солнцево"," Авиаторов","30","Солнцево",""
"Наталья Караман","realtor","https://www.cian.ru/rent/flat/299211859/","Москва","rent","flat","11","16","1","45.2","46000","0",""," Гренадерская","9к1","Ольховая",""
"ДНВ Недвижимость офис Западный","real_estate_agent","https://www.cian.ru/rent/flat/317675812/","Москва","rent","flat","4","9","1","35","46000","0","Северное Медведково","Студеный проезд","26К2","Медведково",""
"Наталья Романова","realtor","https://www.cian.ru/rent/flat/317923081/","Москва","rent","flat","3","17","1","39","46000","0","Митино","2-й Митинский переулок","5","Митино",""
"Евгений Горновой","realtor","https://www.cian.ru/rent/flat/316924995/","Москва","rent","flat","4","9","2","45","46000","0","Ярославский","Палехская ","11","Свиблово",""
"ГОРОБМЕН","real_estate_agent","https://www.cian.ru/rent/flat/317801924/","Москва","rent","flat","2","4","2","45","46000","0","Солнцево","Наро-Фоминская ","13","Солнечная",""
"Надежда Лобозова","realtor","https://www.cian.ru/rent/flat/317927818/","Москва","rent","flat","3","5","1","33","46000","0","Москворечье-Сабурово"," Москворечье","49","Кантемировская",""
"Самолет Плюс - Ступино","real_estate_agent","https://www.cian.ru/rent/flat/312094237/","Москва","rent","flat","6","10","1","27","46000","0","","проспект Куприна","24к3","Потапово",""
"Светлана Самсонова","realtor","https://www.cian.ru/rent/flat/317786125/","Москва","rent","flat","3","5","1","32","46000","0","Лосиноостровский","Изумрудная ","6","Бабушкинская",""
"Альфия Аминова","realtor","https://www.cian.ru/rent/flat/316246468/","Москва","rent","flat","16","19","1","39","46000","0",""," Самуила Маршака","17","Рассказовка",""
"Юлия Леоненко","realtor","https://www.cian.ru/rent/flat/317354913/","Москва","rent","flat","1","12","1","40","46000","0","Отрадное","Березовая аллея","9","Отрадное",""
"ТЕРРИТОРИЯ","real_estate_agent","https://www.cian.ru/rent/flat/315039104/","Москва","rent","flat","13","17","1","38.5","46000","0","Люблино"," Маршала Баграмяна","1","Люблино",""
"Владимир Румянцев","realtor","https://www.cian.ru/rent/flat/284116319/","Москва","rent","flat","10","16","1","38","46000","0","Южное Медведково","Заповедная ","26","Бабушкинская",""
"Людмила Микушина","realtor","https://www.cian.ru/rent/flat/315913363/","Москва","rent","flat","3","5","2","45","46000","0","Люблино"," Степана Шутова","6К2","Люблино",""
"Владимир Дворянский","realtor","https://www.cian.ru/rent/flat/281746161/","Москва","rent","flat","9","17","1","35","46000","0","Выхино-Жулебино","Саранская ","7","Жулебино",""
"МИЭЛЬ","real_estate_agent","https://www.cian.ru/rent/flat/317768653/","Москва","rent","flat","2","14","2","56","46000","0",""," Яворки","1к3","Кедровая",""
"Яна Гажула","realtor","https://www.cian.ru/rent/flat/317713190/","Москва","rent","flat","6","9","1","40","46000","0","Рязанский","1-я Новокузьминская ","20К1","Рязанский проспект",""
"Елена Лунёва","realtor","https://www.cian.ru/rent/flat/310309694/","Москва","rent","flat","4","24","1","38","46000","0","Лианозово","Абрамцевская ","7","Алтуфьево",""
"Станислав Таранов","realtor","https://www.cian.ru/rent/flat/233018508/","Москва","rent","flat","3","17","1","38","46000","0","Орехово-Борисово Южное","Гурьевский проезд","17К2","Зябликово",""
"Юлия Кудрявцева","realtor","https://www.cian.ru/rent/flat/303704384/","Москва","rent","flat","1","9","1","36.6","46000","0","Ясенево"," Айвазовского","5К1","Ясенево",""
"Людмила Байдак","realtor","https://www.cian.ru/rent/flat/296522916/","Москва","rent","flat","4","4","-1","22","46000","0","Нижегородский","Подъемная ","14С25","Авиамоторная",""
"Анастасия Короткова","realtor","https://www.cian.ru/rent/flat/317747907/","Москва","rent","flat","3","9","1","33.3","46000","0","Ясенево","Ясногорская ","3","Ясенево",""
"Алексей Виноградов","realtor","https://www.cian.ru/rent/flat/315313404/","Москва","rent","flat","6","9","2","54","46990","0","Ясенево","Голубинская ","17/9","Ясенево",""
"InHome24","real_estate_agent","https://www.cian.ru/rent/flat/308348839/","Москва","rent","flat","3","3","-1","25","46990","0","Измайлово","Верхняя Первомайская ","36","Первомайская",""
"Центр недвижимости ВАШ ДОМ","real_estate_agent","https://www.cian.ru/rent/flat/313584419/","Москва","rent","flat","1","16","-1","25","46500","0","Останкинский","2-я Новоостанкинская ","6","Улица Академика Королёва",""
"InHome24","real_estate_agent","https://www.cian.ru/rent/flat/301363716/","Москва","rent","flat","4","6","-1","15","46990","0","Марьино","Донецкая ","34к3","Курьяново",""
"Ирина Таранец","realtor","https://www.cian.ru/rent/flat/160737203/","Москва","rent","flat","16","17","1","42","47000","0",""," Никитина","14к1","Рассказовка",""
"Ольга Тришкина","realtor","https://www.cian.ru/rent/flat/302064439/","Москва","rent","flat","9","25","1","37","47000","0","Митино","Муравская ","38к2","Пятницкое шоссе",""
"ПАРТНЕР","real_estate_agent","https://www.cian.ru/rent/flat/316362653/","Москва","rent","flat","5","14","1","33","47000","0","Можайский","Сколковское шоссе","40к3","Сетунь",""
"ID 60923","realtor","https://www.cian.ru/rent/flat/301186570/","Москва","rent","flat","18","21","1","22","47000","0","Очаково-Матвеевское","","2.3","Озёрная","Мичуринский Парк ЖК"
"EMPIRE HOME","real_estate_agent","https://www.cian.ru/rent/flat/317419816/","Москва","rent","flat","14","17","1","23","47000","0",""," Саларьевская","14к3","Саларьево",""
"ИНКОМ-Недвижимость. Аренда","real_estate_agent","https://www.cian.ru/rent/flat/317412812/","Москва","rent","flat","10","16","1","45","47000","0","Ярославский","Ярославское шоссе","57","ВДНХ",""
"Андрей Климанов","realtor","https://www.cian.ru/rent/flat/317921590/","Москва","rent","flat","2","17","1","38","47000","0","Бескудниковский","Дубнинская ","27К1","Дегунино",""
"МИЭЛЬ","real_estate_agent","https://www.cian.ru/rent/flat/317637468/","Москва","rent","flat","7","16","1","36","47000","0","Северное Измайлово","Щелковский проезд","2","Щёлковская",""
"Квартал Риэлти","real_estate_agent","https://www.cian.ru/rent/flat/299335157/","Москва","rent","flat","9","9","1","32.2","47000","0","Обручевский"," Новаторов","18К2","Новаторская",""
"Елена Николаева","realtor","https://www.cian.ru/rent/flat/317219331/","Москва","rent","flat","8","9","1","34","47000","0","Восточное Дегунино","Дубнинская ","12К4","Дегунино",""
"Олег Токарь","realtor","https://www.cian.ru/rent/flat/316752202/","Москва","rent","flat","7","12","1","35","47000","0","Лосиноостровский","Изумрудная ","46К1","Медведково",""
"ГОРОБМЕН","real_estate_agent","https://www.cian.ru/rent/flat/317908522/","Москва","rent","flat","2","10","1","42","47000","0","Косино-Ухтомский"," Черное Озеро","4","Улица Дмитриевского",""
"Тимур Сарвари","realtor","https://www.cian.ru/rent/flat/317496799/","Москва","rent","flat","4","9","1","33","47000","0","Ясенево","Новоясеневский проспект","19К4","Новоясеневская",""
"Мария Юрова","realtor","https://www.cian.ru/rent/flat/306306098/","Москва","rent","flat","11","17","1","45","47000","0",""," Лазурная","14","Новомосковская",""
"Эльза Соломонович","realtor","https://www.cian.ru/rent/flat/317661838/","Москва","rent","flat","4","5","1","39","47000","0","Очаково-Матвеевское","Озерная ","12","Очаково",""
"УСПЕХ","real_estate_agent","https://www.cian.ru/rent/flat/317463488/","Москва","rent","flat","4","22","1","39.1","47000","0","Кунцево","Рублевское шоссе","79","Молодёжная",""
"Дина Медведева","realtor","https://www.cian.ru/rent/flat/274558880/","Москва","rent","flat","7","12","1","38","47000","0","Нижегородский","Нижегородская ","72/2","Калитники",""
"Жанна Беляева","realtor","https://www.cian.ru/rent/flat/317662988/","Москва","rent","flat","8","14","2","40","47000","0","Чертаново Южное"," Подольских Курсантов","4к1","Пражская",""
"Патимат Шихабудинова","realtor","https://www.cian.ru/rent/flat/317334406/","Москва","rent","flat","6","12","2","38","47000","0","Молжаниновский","Ленинградское шоссе","229Ак2","Новоподрезково",""
"СТОЛИЦА. Москва и МО","real_estate_agent","https://www.cian.ru/rent/flat/317115600/","Москва","rent","flat","6","22","1","40","47000","0","Тропарево-Никулино"," Покрышкина","11","Юго-Западная",""
"Октава-Недвижимость","real_estate_agent","https://www.cian.ru/rent/flat/317750344/","Москва","rent","flat","3","5","1","30","47000","0","Останкинский","1-я Останкинская ","19/1","Улица Академика Королёва",""
"EMPIRE HOME","real_estate_agent","https://www.cian.ru/rent/flat/316847500/","Москва","rent","flat","12","16","2","54","47000","0",""," Гренадерская","9к2","Ольховая",""
"Just Estate","real_estate_agent","https://www.cian.ru/rent/flat/314543016/","Москва","rent","flat","6","17","1","42","47000","0","Косино-Ухтомский","Лухмановская ","15к4","Лухмановская",""
"i-deal","real_estate_agent","https://www.cian.ru/rent/flat/317345111/","Москва","rent","flat","5","17","1","38.5","47000","0","Молжаниновский","Ленинградское шоссе","229Ак1","Новоподрезково",""
"Екатерина Городенцева","realtor","https://www.cian.ru/rent/flat/245433510/","Москва","rent","flat","9","18","1","40","47000","0",""," Летчика Ульянина","2","Пыхтино",""
"Илья Исаков","realtor","https://www.cian.ru/rent/flat/317698616/","Москва","rent","flat","1","17","2","54","47000","0","Выхино-Жулебино"," Генерала Кузнецова","26К2","Жулебино",""
"Ирина Кравченко","realtor","https://www.cian.ru/rent/flat/315799830/","Москва","rent","flat","10","12","2","52","47000","0",""," Пушкинская","3","Щербинка",""
"Елена Брейтенбюхер","realtor","https://www.cian.ru/rent/flat/317079117/","Москва","rent","flat","8","9","2","46","47000","0","Выхино-Жулебино","Ферганский проезд","1","Юго-Восточная",""
"Елена Брейтенбюхер","realtor","https://www.cian.ru/rent/flat/317596782/","Москва","rent","flat","14","14","1","38","47000","0","Чертаново Южное","Россошанская ","4К2","Красный Строитель",""
"Монолит Столица","real_estate_agent","https://www.cian.ru/rent/flat/316111505/","Москва","rent","flat","4","17","1","25.3","47000","0",""," Трехполье","6к1","Саларьево",""
"ПИК-Аренда","real_estate_agent","https://www.cian.ru/rent/flat/317220907/","Москва","rent","flat","3","23","1","20","47000","0","Царицыно","Кавказский бульвар","51к2","Кавказский бульвар",""
"ЭКСПРЕСС Недвижимость","real_estate_agent","https://www.cian.ru/rent/flat/317762974/","Москва","rent","flat","18","18","1","38","47000","0","Ховрино","Фестивальная ","24","Грачёвская",""
"Рариэлти","real_estate_agent","https://www.cian.ru/rent/flat/316534207/","Москва","rent","flat","8","9","1","36","47000","0","","проспект Новосередневский","17к2","Филатов Луг",""
"City Nova Group","real_estate_agent","https://www.cian.ru/rent/flat/314204314/","Москва","rent","flat","4","16","1","38","47000","0","Марьино"," Маршала Голованова","2","Марьино",""
"Юрий Гресь","realtor","https://www.cian.ru/rent/flat/317743072/","Москва","rent","flat","6","17","1","40","47000","0","Косино-Ухтомский"," Татьяны Макаровой","4","Лухмановская",""
"Ирина Киселева","realtor","https://www.cian.ru/rent/flat/316425022/","Москва","rent","flat","6","33","1","20","47000","0","Дмитровский","Лобненская ","13к4","Лианозово",""
"Елена Ряскина","realtor","https://www.cian.ru/rent/flat/308213055/","Москва","rent","flat","10","14","1","35.4","47000","0","Можайский"," Кутузова","5","Рабочий посёлок",""
"Аркадий Чапайкин","realtor","https://www.cian.ru/rent/flat/315148728/","Москва","rent","flat","16","30","1","20","47000","0","Очаково-Матвеевское","проезд Стройкомбината","1","Очаково",""
"Василий Дулько","realtor","https://www.cian.ru/rent/flat/317386521/","Москва","rent","flat","17","19","1","42.3","47000","0",""," Александры Монаховой","95к2","Потапово",""
"Лада Гоголева","realtor","https://www.cian.ru/rent/flat/317663057/","Москва","rent","flat","8","17","1","38","47000","0","Кузьминки","Волгоградский проспект","128К5","Кузьминки",""
"Татьяна Можайская","realtor","https://www.cian.ru/rent/flat/316824707/","Москва","rent","flat","9","12","1","38.4","47000","0","Бибирево"," Плещеева","24","Бибирево",""
"Александр Семенов","realtor","https://www.cian.ru/rent/flat/315052719/","Москва","rent","flat","2","9","1","35","47000","0","Вешняки","Реутовская ","12К1","Новогиреево",""
"Роман Пославский","realtor","https://www.cian.ru/rent/flat/317303404/","Москва","rent","flat","11","12","1","34","47000","0","Нагатинский затон","Затонная ","12К1","Кленовый бульвар",""
"Алла Звоник","realtor","https://www.cian.ru/rent/flat/317145305/","Москва","rent","flat","10","16","1","20","47000","0","Отрадное","Алтуфьевское шоссе","2К1","Владыкино",""
"Салют","real_estate_agent","https://www.cian.ru/rent/flat/317512274/","Москва","rent","flat","4","12","1","39","47000","0","Выхино-Жулебино","Лермонтовский проспект","12","Лермонтовский проспект",""
"Московские ключи","real_estate_agent","https://www.cian.ru/rent/flat/233808871/","Москва","rent","flat","4","12","2","44","47000","0","Рязанский"," Федора Полетаева","21К1","Рязанский проспект",""
"Виталий Бирюков","realtor","https://www.cian.ru/rent/flat/317440828/","Москва","rent","flat","7","9","1","34","47000","0","Вешняки","Кетчерская ","8К2","Новогиреево",""
"Андрей Крылов","realtor","https://www.cian.ru/rent/flat/317359880/","Москва","rent","flat","3","17","1","35","47000","0","Ховрино"," Ляпидевского","14","Речной вокзал",""
"Моя Недвижимость","real_estate_agent","https://www.cian.ru/rent/flat/257794615/","Москва","rent","flat","4","25","1","40","47000","0","Орехово-Борисово Южное"," Генерала Белова","28к1","Домодедовская",""
"Людмила Евсюкова","realtor","https://www.cian.ru/rent/flat/316772507/","Москва","rent","flat","14","17","1","37.2","47000","0",""," Бориса Пастернака","35","Рассказовка",""
"Светлана Сапронова","realtor","https://www.cian.ru/rent/flat/315701735/","Москва","rent","flat","1","9","1","32","47000","0","Тимирязевский","Дмитровский проезд","6К1","Дмитровская",""
"Неля Кузнецова","realtor","https://www.cian.ru/rent/flat/316681071/","Москва","rent","flat","9","16","1","38","47000","0","Чертаново Южное","Варшавское шоссе","158К2","Аннино",""
"Татьяна Малахова","realtor","https://www.cian.ru/rent/flat/314556885/","Москва","rent","flat","7","16","1","36.4","47000","0","Кунцево"," Маршала Тимошенко","46","Крылатское",""
"Светлана Болотникова","realtor","https://www.cian.ru/rent/flat/317607174/","Москва","rent","flat","8","14","1","39.7","47000","0",""," 3-я Нововатутинская","15к1","Ольховая",""
"Светлана Портакал","realtor","https://www.cian.ru/rent/flat/317868386/","Москва","rent","flat","5","5","2","44","47000","0","Гольяново","Байкальская ","25К3","Щёлковская",""
"Наталья Кудрявцева","realtor","https://www.cian.ru/rent/flat/315129833/","Москва","rent","flat","3","14","1","38","47000","0","Южное Бутово"," Адмирала Лазарева","58","Бунинская аллея",""
"Ольга Кузьмичева","realtor","https://www.cian.ru/rent/flat/317035247/","Москва","rent","flat","15","19","1","35","47000","0",""," Омская","21","Аэропорт Внуково",""
"Наталья Никитина","realtor","https://www.cian.ru/rent/flat/317824144/","Москва","rent","flat","6","17","1","37.2","47000","0","Южное Бутово","Скобелевская ","20","Улица Скобелевская",""
"Владимир Рыбальченко","realtor","https://www.cian.ru/rent/flat/316992560/","Москва","rent","flat","14","23","1","42","47000","0","Рязанский","Окская ","1К1","Кузьминки",""
"Александр Гузенко","realtor","https://www.cian.ru/rent/flat/317834147/","Москва","rent","flat","3","9","1","36","47000","0","Выхино-Жулебино","Рязанский проспект","70К2","Выхино",""
"Олеся Малахова","realtor","https://www.cian.ru/rent/flat/317334229/","Москва","rent","flat","3","12","1","34","47000","0","Рязанский","4-й Вешняковский проезд","8","Вешняки",""
"Оксана Полтавец","realtor","https://www.cian.ru/rent/flat/317366246/","Москва","rent","flat","6","9","1","32.2","47000","0","Обручевский"," Гарибальди","20/29К1","Новые Черёмушки",""
"Марина Сергеева","realtor","https://www.cian.ru/rent/flat/316609496/","Москва","rent","flat","7","19","1","42","47000","0","Выхино-Жулебино"," Генерала Кузнецова","19К1","Жулебино",""
"Кристина Филатова","realtor","https://www.cian.ru/rent/flat/271505747/","Москва","rent","flat","8","12","1","40","47000","0","Алтуфьевский","Костромская ","4А","Бибирево",""
"Татьяна Ахмерова","realtor","https://www.cian.ru/rent/flat/315866458/","Москва","rent","flat","13","15","2","56.8","47000","0",""," Кварцевая","2к2","Ольховая",""
"ПИК-Аренда","real_estate_agent","https://www.cian.ru/rent/flat/317208234/","Москва","rent","flat","4","27","1","35.1","47500","0","Крюково","проспект Георгиевский","27к2","Зеленоград — Крюково",""
"Центр недвижимости ВАШ ДОМ","real_estate_agent","https://www.cian.ru/rent/flat/273489747/","Москва","rent","flat","1","16","-1","23","47500","0","Останкинский","2-я Новоостанкинская ","6","Улица Академика Королёва",""
"ПИК-Аренда","real_estate_agent","https://www.cian.ru/rent/flat/316389115/","Москва","rent","flat","23","33","1","22","47500","0","Рязанский"," Михайлова","30Ак4","Плющево",""
"Любовь Королева","realtor","https://www.cian.ru/rent/flat/312618710/","Москва","rent","flat","2","17","2","35.1","47500","0","","проспект Куприна","30к1","Потапово",""
"ПИК-Аренда","real_estate_agent","https://www.cian.ru/rent/flat/317424403/","Москва","rent","flat","22","32","1","26","47500","0","Рязанский"," Михайлова","30Ак4","Плющево",""
"ПИК-Аренда","real_estate_agent","https://www.cian.ru/rent/flat/316340339/","Москва","rent","flat","12","31","1","19.5","47500","0","Западное Дегунино","Базовская ","15Бк2","Грачёвская",""
"ПИК-Аренда","real_estate_agent","https://www.cian.ru/rent/flat/317412764/","Москва","rent","flat","7","33","1","19.8","47900","0","Западное Дегунино","Базовская ","15Бк3","Грачёвская",""
"ПИК-Аренда","real_estate_agent","https://www.cian.ru/rent/flat/317563850/","Москва","rent","flat","2","16","1","40","47500","0","Южное Бутово"," Поляны","5Ак1","Улица Скобелевская",""
"ПИК-Аренда","real_estate_agent","https://www.cian.ru/rent/flat/317041304/","Москва","rent","flat","33","33","1","23.3","47500","0","Западное Дегунино","Базовская ","15Бк3","Грачёвская",""
"ДНВ Недвижимость офис Западный","real_estate_agent","https://www.cian.ru/rent/flat/315333934/","Москва","rent","flat","2","14","2","52","48000","0","Косино-Ухтомский"," Рудневка","43","Лухмановская",""
"Александр Афанасьев","realtor","https://www.cian.ru/rent/flat/317512096/","Москва","rent","flat","9","12","1","38.4","48000","0","Лианозово","Абрамцевская ","12","Алтуфьево",""
"Алла Хорошилова","realtor","https://www.cian.ru/rent/flat/316715693/","Москва","rent","flat","5","9","2","49","48000","0","Северное Измайлово","16-я Парковая ","43К2","Щёлковская",""
"Нелли Ефремова","realtor","https://www.cian.ru/rent/flat/295770789/","Москва","rent","flat","2","9","1","36","48000","0","","проспект Новосередневский","17к1","Ясенево",""
"Владимир Бардин","realtor","https://www.cian.ru/rent/flat/222879973/","Москва","rent","flat","19","22","1","45","48000","0","Южное Тушино","бульвар Яна Райниса","37","Сходненская",""
"ЛН-недвижимость","real_estate_agent","https://www.cian.ru/rent/flat/206091595/","Москва","rent","flat","4","10","1","36","48000","0","Южное Бутово","Чечерский проезд","100","Бунинская аллея",""
"ОХОТНЫЙ РЯД офис Тверская","real_estate_agent","https://www.cian.ru/rent/flat/317767556/","Москва","rent","flat","2","14","1","38","48000","0","Бескудниковский","Дмитровское шоссе","96К4","Яхромская",""
"МГН-495","real_estate_agent","https://www.cian.ru/rent/flat/317885897/","Москва","rent","flat","2","5","2","60","48000","0",""," Люблинская","8","Щербинка",""
"МИЭЛЬ","real_estate_agent","https://www.cian.ru/rent/flat/317547964/","Москва","rent","flat","5","16","1","36","48000","0","Бибирево"," Пришвина","7/1","Бибирево",""
"Татьяна Иванова","realtor","https://www.cian.ru/rent/flat/317713563/","Москва","rent","flat","2","5","1","30.5","48000","0","Соколиная гора","Гаражная ","5","Шоссе Энтузиастов",""
"Оксана Гончарова","realtor","https://www.cian.ru/rent/flat/317702924/","Москва","rent","flat","11","17","1","37.2","48000","0","Братеево","Ключевая ","22К1","Алма-Атинская",""
"ИНКОМ-Недвижимость. Аренда","real_estate_agent","https://www.cian.ru/rent/flat/317851680/","Москва","rent","flat","5","5","2","46","48000","0","Кунцево","Оршанская ","4","Молодёжная",""
"ИНКОМ-Недвижимость. Аренда","real_estate_agent","https://www.cian.ru/rent/flat/316427429/","Москва","rent","flat","7","9","1","37","48000","0","Нагатинский затон","Кленовый бульвар","15","Кленовый бульвар",""
"Татьяна Кофанова","realtor","https://www.cian.ru/rent/flat/317345436/","Москва","rent","flat","9","19","1","40","48000","0",""," Бианки","8к2","Рассказовка",""
"ТАНДЕМ","real_estate_agent","https://www.cian.ru/rent/flat/317540640/","Москва","rent","flat","5","5","1","31.7","48000","0","Хорошево-Мневники","Карамышевская набережная","14","Народное Ополчение",""
"Виктор Посохов","realtor","https://www.cian.ru/rent/flat/317917757/","Москва","rent","flat","12","12","1","40","48000","0","","","21","Рассказовка",""
"Станислав Стрешнев","realtor","https://www.cian.ru/rent/flat/317152881/","Москва","rent","flat","5","5","1","31","48000","0","Южное Тушино"," Фабрициуса","14","Сходненская",""
"КОНСИНГО","real_estate_agent","https://www.cian.ru/rent/flat/315206292/","Москва","rent","flat","11","14","2","51.8","48000","0","Южное Бутово","2-я Мелитопольская ","21К3","Бутово",""
"EMPIRE HOME","real_estate_agent","https://www.cian.ru/rent/flat/317862220/","Москва","rent","flat","9","23","1","42","48000","0","Некрасовка"," Маресьева","7к3","Некрасовка",""
"ANTFC","real_estate_agent","https://www.cian.ru/rent/flat/317634471/","Москва","rent","flat","10","12","1","36","48000","0","Кунцево","Молодогвардейская ","38К1","Молодёжная",""
"MDco","real_estate_agent","https://www.cian.ru/rent/flat/316759020/","Москва","rent","flat","4","5","1","34","48000","0","Проспект Вернадского","проспект Вернадского","22","Проспект Вернадского",""
"MDco","real_estate_agent","https://www.cian.ru/rent/flat/316759109/","Москва","rent","flat","4","5","1","34","48000","0","Проспект Вернадского","проспект Вернадского","22","Проспект Вернадского",""
"ПАРТНЕР","real_estate_agent","https://www.cian.ru/rent/flat/317909086/","Москва","rent","flat","7","16","1","35","48000","0","Отрадное","Северный бульвар","21А","Отрадное",""
"Замоскворечье","real_estate_agent","https://www.cian.ru/rent/flat/317283461/","Москва","rent","flat","11","17","1","39","48000","0","Северное Тушино"," Вилиса Лациса","38к2","Планерная",""
"Премиум","real_estate_agent","https://www.cian.ru/rent/flat/317255355/","Москва","rent","flat","2","9","1","35","48000","0","Нагатино-Садовники"," Академика Миллионщикова","17","Коломенская",""
"Столичная Недвижимость.","real_estate_agent","https://www.cian.ru/rent/flat/317333494/","Москва","rent","flat","6","9","1","36","48000","0","Чертаново Центральное","Днепропетровская ","19К2","Южная",""
"Петр Георгиевич Павленко","realtor","https://www.cian.ru/rent/flat/184931338/","Москва","rent","flat","9","17","1","42","48000","0","Выхино-Жулебино","Привольная ","15","Лермонтовский проспект",""
"Лариса Евсеева","realtor","https://www.cian.ru/rent/flat/287452636/","Москва","rent","flat","10","19","1","38","48000","0",""," Самуила Маршака","23к1","Рассказовка",""
"Владис","real_estate_agent","https://www.cian.ru/rent/flat/317566365/","Москва","rent","flat","16","17","1","43","48000","0",""," Самуила Маршака","23","Рассказовка",""
"ДСК","real_estate_agent","https://www.cian.ru/rent/flat/314381872/","Москва","rent","flat","4","8","1","32","48000","0","Щукино"," Народного Ополчения","36","Октябрьское поле",""
"Макромир","real_estate_agent","https://www.cian.ru/rent/flat/316037124/","Москва","rent","flat","5","5","-1","15","48000","0","Марьина роща","Стрелецкая ","6","Марьина Роща",""
"Марина Комарова","realtor","https://www.cian.ru/rent/flat/317884537/","Москва","rent","flat","7","14","2","38.3","48000","0","Чертаново Центральное","Чертановская ","41К1","Пражская",""
"Маргарита Шкителева","realtor","https://www.cian.ru/rent/flat/317626252/","Москва","rent","flat","1","5","1","45","48000","0","Северный","Дмитровское шоссе","122Гк1","Физтех",""
"ФИРМА АВРОРА","real_estate_agent","https://www.cian.ru/rent/flat/296342832/","Москва","rent","flat","5","6","-1","22","48000","0","Аэропорт","2-й Амбулаторный проезд","8С3","Красный Балтиец",""
"Life Style","real_estate_agent","https://www.cian.ru/rent/flat/317869001/","Москва","rent","flat","1","14","1","35","48000","0","Люблино","Высотный проезд","4","Люблино",""
"Евгений Тогобицкий","realtor","https://www.cian.ru/rent/flat/317639172/","Москва","rent","flat","1","9","1","33","48000","0","Теплый Стан","Профсоюзная ","152К4","Тёплый Стан",""
"EMPIRE HOME","real_estate_agent","https://www.cian.ru/rent/flat/317644120/","Москва","rent","flat","9","16","1","20","48000","0",""," Потаповская Роща","24к2","Потапово",""
"Меркурий","real_estate_agent","https://www.cian.ru/rent/flat/316869309/","Москва","rent","flat","11","17","1","38","48000","0","Митино","Пятницкое шоссе","25","Митино",""
"ОХОТНЫЙ РЯД офис Тверская","real_estate_agent","https://www.cian.ru/rent/flat/317598605/","Москва","rent","flat","6","14","3","64","48000","0","Бирюлево Восточное","Касимовская ","1","Покровское",""
"GDK-недвижимость","real_estate_agent","https://www.cian.ru/rent/flat/299009236/","Москва","rent","flat","4","14","1","35","48000","0","Люблино","Новороссийская ","24К1","Люблино",""
"Zaitsev Estate Development","real_estate_agent","https://www.cian.ru/rent/flat/315513937/","Москва","rent","flat","6","9","2","45.9","48000","0","Ховрино"," Ляпидевского","10К2","Беломорская",""
"Александр Табунов","realtor","https://www.cian.ru/rent/flat/317838599/","Москва","rent","flat","11","12","2","45","48000","0","Бирюлево Западное","Медынская ","1К1","Пражская",""
"Елена  Куценко","realtor","https://www.cian.ru/rent/flat/317174606/","Москва","rent","flat","9","16","1","40","48000","0","Отрадное"," Бестужевых","3","Отрадное",""
"Зульфия  Галяутдинова","realtor","https://www.cian.ru/rent/flat/316767232/","Москва","rent","flat","5","9","2","37","48000","0","Черемушки","Профсоюзная ","44К3","Профсоюзная",""
"Федор Зюбан","realtor","https://www.cian.ru/rent/flat/315735267/","Москва","rent","flat","3","17","1","37.7","48000","0","Братеево","Братеевская ","8К3","Алма-Атинская",""
"Самолет Плюс","real_estate_agent","https://www.cian.ru/rent/flat/317253171/","Москва","rent","flat","9","14","1","46","48000","0",""," Гренадерская","9к1","Ольховая",""
"LKAbroker","real_estate_agent","https://www.cian.ru/rent/flat/309405934/","Москва","rent","flat","5","14","2","64","48000","0",""," Индустриальная","6","Щербинка",""
"Владимир Положенцев","realtor","https://www.cian.ru/rent/flat/311182661/","Москва","rent","flat","17","17","1","41","48000","0","Северное Бутово","бульвар Дмитрия Донского","9К1","Бульвар Дмитрия Донского",""
"Столичный Проспект","real_estate_agent","https://www.cian.ru/rent/flat/317699483/","Москва","rent","flat","7","14","1","40","48000","0","Ново-Переделкино","Новопеределкинская ","14","Боровское шоссе",""
"Риэлтико","real_estate_agent","https://www.cian.ru/rent/flat/317808454/","Москва","rent","flat","2","22","1","39","48000","0","Бибирево","Алтуфьевское шоссе","74","Алтуфьево",""
"Ольга Федоровых","realtor","https://www.cian.ru/rent/flat/161923334/","Москва","rent","flat","12","17","1","38","48000","0","Северное Медведково","Северодвинская ","11к1","Медведково",""
"Светлана Вождаева","realtor","https://www.cian.ru/rent/flat/317267696/","Москва","rent","flat","2","5","2","44.9","48000","0","Текстильщики","Юго-Восточный ао","к1","Нижегородская",""
