"author","author_type","url","location","deal_type","accommodation_type","floor","floors_count","rooms_count","total_meters","price_per_month","commissions","district","street","house_number","underground","residential_complex"
"Trust Realty","real_estate_agent","https://www.cian.ru/rent/flat/315992361/","Москва","rent","flat","4","6","3","96","165000","0","Якиманка"," Большая Якиманка","27","Полянка",""
"GALA ESTATE","real_estate_agent","https://www.cian.ru/rent/flat/315882611/","Москва","rent","flat","9","20","3","90","170000","0","Хорошево-Мневники","проспект Маршала Жукова","59","Народное Ополчение",""
"ID 90641279","homeowner","https://www.cian.ru/rent/flat/300059180/","Москва","rent","flat","11","14","2","54.6","170000","0","Пресненский","Большая Никитская ","49","Баррикадная",""
"Решение Эксперт","real_estate_agent","https://www.cian.ru/rent/flat/316009050/","Москва","rent","flat","4","35","3","65","165000","0","Левобережный","Фестивальная ","15К4","Речной вокзал",""
"ID 48464686","realtor","https://www.cian.ru/rent/flat/317563812/","Москва","rent","flat","5","10","2","75","170000","0","Арбат","1-й Смоленский переулок","9С1","Смоленская",""
"ID 86151596","homeowner","https://www.cian.ru/rent/flat/317582568/","Москва","rent","flat","7","18","3","93","165000","0","Филевский парк","Филевский бульвар","24к3","Мнёвники",""
"Жилищная стратегия","real_estate_agent","https://www.cian.ru/rent/flat/315611979/","Москва","rent","flat","9","26","2","50.6","180000","0","Очаково-Матвеевское","Нежинская ","5к2","Матвеевская",""
"ID 890569","real_estate_agent","https://www.cian.ru/rent/flat/317269530/","Москва","rent","flat","12","48","2","68.2","165000","0","Бутырский","Новодмитровская ","2к6","Дмитровская",""
"ID 91223547","homeowner","https://www.cian.ru/rent/flat/308514594/","Москва","rent","flat","7","9","3","69","163000","0","Хорошево-Мневники","Причальный проезд","8к1","Шелепиха",""
"Домклик Аренда","real_estate_agent","https://www.cian.ru/rent/flat/316642671/","Москва","rent","flat","2","44","2","48","165000","0","Пресненский","Ходынская ","2","Улица 1905 года",""
"ID 128660532","realtor","https://www.cian.ru/rent/flat/316231820/","Москва","rent","flat","3","4","-1","65","180000","0","Беговой"," 3-я Ямского Поля","9к4","Белорусская",""
"Владимир Щебланин","realtor","https://www.cian.ru/rent/flat/314794709/","Москва","rent","flat","6","7","2","46","180000","0","Пресненский","Богословский переулок","3","Пушкинская",""
"Самолет плюс Славянский","real_estate_agent","https://www.cian.ru/rent/flat/317565042/","Москва","rent","flat","27","30","2","58","170000","0","Можайский"," Петра Алексеева","14","Давыдково",""
"Unique Property","real_estate_agent","https://www.cian.ru/rent/flat/317024107/","Москва","rent","flat","1","22","3","84","175000","0","Текстильщики","1-й Грайвороновский проезд","13к1","Новохохловская",""
"EMPIRE","real_estate_agent","https://www.cian.ru/rent/flat/317206331/","Москва","rent","flat","4","8","4","85","180000","0","Беговой","Ленинградский проспект","12","Белорусская",""
"Юлия Дусина","realtor","https://www.cian.ru/rent/flat/316625923/","Москва","rent","flat","18","34","3","69","165000","0","Обручевский"," Архитектора Власова","71к2","Воронцовская",""
"Capital Mars","real_estate_agent","https://www.cian.ru/rent/flat/317693931/","Москва","rent","flat","26","32","1","32","170000","0","Пресненский","Шмитовский проезд","39к2","Шелепиха",""
"ID 58966649","homeowner","https://www.cian.ru/rent/flat/282817872/","Москва","rent","flat","4","16","3","117.9","180000","0","Аэропорт","Петровско-Разумовская аллея","10К2","Петровский Парк",""
"МИЭЛЬ","real_estate_agent","https://www.cian.ru/rent/flat/316825438/","Москва","rent","flat","27","27","2","51","180000","0","Филевский парк","Береговой проезд","3","Фили",""
"ID 12431","realtor","https://www.cian.ru/rent/flat/312821128/","Москва","rent","flat","7","17","4","95.8","170000","0","","бульвар Скандинавский","19","Потапово",""
"KAIF","real_estate_agent","https://www.cian.ru/rent/flat/316996427/","Москва","rent","flat","11","14","1","60","165000","0","Дорогомилово","Большая Дорогомиловская ","4","Киевская",""
"333980","real_estate_agent","https://www.cian.ru/rent/flat/315388946/","Москва","rent","flat","10","18","2","70","180000","0","Академический"," Дмитрия Ульянова","6к1","Академическая",""
"Вероника Косарева","realtor","https://www.cian.ru/rent/flat/316266670/","Москва","rent","flat","4","7","4","90","180000","0","Пресненский"," 1905 года","1","Улица 1905 года",""
"ID 101476330","homeowner","https://www.cian.ru/rent/flat/296213871/","Москва","rent","flat","2","15","3","100","180000","0","Покровское-Стрешнево","Волоколамское шоссе","71к2","Спартак",""
"Континент-Недвижимость","real_estate_agent","https://www.cian.ru/rent/flat/313378224/","Москва","rent","flat","5","15","3","117","180000","0","Раменки","Университетский проспект","16","Ломоносовский проспект",""
"ID 53550849","realtor","https://www.cian.ru/rent/flat/317138658/","Москва","rent","flat","18","23","4","125","165000","0","Теплый Стан"," Теплый Стан","7","Тёплый Стан",""
"ID 125338251","homeowner","https://www.cian.ru/rent/flat/317113487/","Москва","rent","flat","6","24","2","51.5","175000","0","Арбат"," Новый Арбат","6","Арбатская",""
"Яндекс Аренда","real_estate_agent","https://www.cian.ru/rent/flat/317603418/","Москва","rent","flat","20","27","3","75","175500","0","Хорошевский","Хорошевское шоссе","12к1","Беговая",""
"ID 63965","unknown","https://www.cian.ru/rent/flat/317609659/","Москва","rent","flat","29","32","3","95.5","165000","0","Головинский","Кронштадтский бульвар","9к4","Водный стадион",""
"ID 77793753","homeowner","https://www.cian.ru/rent/flat/316567980/","Москва","rent","flat","5","8","3","85","165000","0","Хорошевский"," Зорге","18к2","Зорге",""
"Татьяна Шеляпина","realtor","https://www.cian.ru/rent/flat/312065236/","Москва","rent","flat","19","20","3","75","180000","0","Лефортово","проезд Невельского","1к2","Авиамоторная",""
"ID 18091474","unknown","https://www.cian.ru/rent/flat/313317043/","Москва","rent","flat","3","18","3","92","170000","0","Сокольники","проезд Попов","1к2","Электрозаводская",""
"ID 105762681","homeowner","https://www.cian.ru/rent/flat/305154654/","Москва","rent","flat","16","22","3","122","165000","0","Тропарево-Никулино","проспект Вернадского","92","Тропарёво",""
"Capital Mars","real_estate_agent","https://www.cian.ru/rent/flat/317411328/","Москва","rent","flat","1","6","2","70","180000","0","Таганский","Гончарная ","5","Таганская",""
"ID 520730","realtor","https://www.cian.ru/rent/flat/311994084/","Москва","rent","flat","17","20","3","57.6","180000","0","Филевский парк","Большая Филевская ","3к4","Фили",""
"ID 371657","realtor","https://www.cian.ru/rent/flat/316805714/","Москва","rent","flat","18","21","2","62","180000","0","Беговой","Ленинградский проспект","29к2","Динамо",""
"Capital Mars","real_estate_agent","https://www.cian.ru/rent/flat/317671229/","Москва","rent","flat","15","41","1","40","170000","0","Хорошевский","Ленинградский проспект","37/5","Аэропорт",""
"ЦАН","real_estate_agent","https://www.cian.ru/rent/flat/316932240/","Москва","rent","flat","2","6","2","69","180000","0","Филевский парк","Багратионовский проезд","5Ак1","Фили",""
"ID 129965876","homeowner","https://www.cian.ru/rent/flat/316284579/","Москва","rent","flat","6","28","2","40.84","180000","0","Кунцево"," Академика Павлова","28","Молодёжная",""
"EstateLiga","real_estate_agent","https://www.cian.ru/rent/flat/317909783/","Москва","rent","flat","2","33","2","66","175000","0","Хорошево-Мневники","Причальный проезд","10к1","Шелепиха",""
"Агентство недвижимости Престиж Group","real_estate_agent","https://www.cian.ru/rent/flat/316501752/","Москва","rent","flat","7","7","2","89","180000","0","Пресненский","Ермолаевский переулок","10/7","Маяковская",""
"ID 113314801","homeowner","https://www.cian.ru/rent/flat/305178446/","Москва","rent","flat","9","16","2","60","170000","0","Даниловский"," Архитектора Щусева","5к2","ЗИЛ",""
"МОЯ СТОЛИЦА","real_estate_agent","https://www.cian.ru/rent/flat/314407184/","Москва","rent","flat","10","26","2","40","180000","0","Хорошевский","Хорошевское шоссе","25Ак1","Полежаевская",""
"Холдинг Профи","real_estate_agent","https://www.cian.ru/rent/flat/317001222/","Москва","rent","flat","14","16","3","74","165000","0","Филевский парк","Большая Филевская ","4","Фили",""
"ID 113152979","homeowner","https://www.cian.ru/rent/flat/308180354/","Москва","rent","flat","16","31","3","79","175000","0","Можайский"," Петра Алексеева","14","Давыдково",""
"Chase R.E.S.","real_estate_agent","https://www.cian.ru/rent/flat/315711221/","Москва","rent","flat","4","6","2","60","180000","0","Таганский"," Станиславского","11","Таганская",""
"Континент-Недвижимость","real_estate_agent","https://www.cian.ru/rent/flat/316711258/","Москва","rent","flat","10","25","3","130","180000","0","Тропарево-Никулино"," Покрышкина","3","Юго-Западная",""
"EstateLiga","real_estate_agent","https://www.cian.ru/rent/flat/316734420/","Москва","rent","flat","3","18","2","77","165000","0","Раменки"," Янковского","1к1","Аминьевская",""
"EMPIRE HOME","real_estate_agent","https://www.cian.ru/rent/flat/316627691/","Москва","rent","flat","32","57","2","110","175000","0","Хорошевский","Чапаевский переулок","3","Аэропорт",""
"M-PROPERTY moscow property","real_estate_agent","https://www.cian.ru/rent/flat/315088015/","Москва","rent","flat","31","38","2","87","170000","0","Обручевский","Ленинский проспект","111к1","Новаторская",""
"Chase R.E.S.","real_estate_agent","https://www.cian.ru/rent/flat/306663489/","Москва","rent","flat","15","40","1","40.2","170000","0","Хорошевский","Ленинградский проспект","37/4","ЦСКА",""
"Homeprice","real_estate_agent","https://www.cian.ru/rent/flat/317569713/","Москва","rent","flat","3","22","3","100","180000","0","Академический","Новочеремушкинская ","17","Академическая",""
"ID 7782","realtor","https://www.cian.ru/rent/flat/316958170/","Москва","rent","flat","11","14","3","90","170000","0","Хорошевский","Хорошевское шоссе","84К5","Полежаевская",""
"ID 53562670","homeowner","https://www.cian.ru/rent/flat/252875279/","Москва","rent","flat","1","5","3","90","180000","0","Даниловский","Дербеневская ","18","Павелецкая",""
"ID 179398","realtor","https://www.cian.ru/rent/flat/315989477/","Москва","rent","flat","15","40","3","107","170000","0","Кунцево","Рублевское шоссе","107","Молодёжная",""
"Владис","real_estate_agent","https://www.cian.ru/rent/flat/316340056/","Москва","rent","flat","5","30","2","75","175000","0","Богородское","Погонный проезд","3ак2","Белокаменная",""
"ID 65014838","realtor","https://www.cian.ru/rent/flat/278487438/","Москва","rent","flat","3","5","2","100","180000","0","Хамовники","Нащокинский переулок","6","Кропоткинская",""
"ID 1223998","realtor","https://www.cian.ru/rent/flat/310576152/","Москва","rent","flat","4","14","3","110","175000","0","Фили-Давыдково","Звенигородская ","7","Кунцевская",""
"Евразия Инвест","real_estate_agent","https://www.cian.ru/rent/flat/317651315/","Москва","rent","flat","2","8","-1","120","170000","0","Раменки","Ломоносовский проспект","34","Ломоносовский проспект",""
"ID 21305310","homeowner","https://www.cian.ru/rent/flat/314268751/","Москва","rent","flat","11","24","2","40","165000","0","Красносельский","Большая Спасская ","35","Площадь трёх вокзалов",""
"Континент-Недвижимость","real_estate_agent","https://www.cian.ru/rent/flat/312321132/","Москва","rent","flat","1","9","3","88","180000","0","Хамовники","Большой Власьевский переулок","9","Смоленская",""
"ID 16302432","realtor","https://www.cian.ru/rent/flat/298694998/","Москва","rent","flat","26","30","1","32","170000","0","Пресненский","Шмитовский проезд","39к2","Шелепиха",""
"ID 476049","homeowner","https://www.cian.ru/rent/flat/254576786/","Москва","rent","flat","6","36","1","56","165000","0","Хорошево-Мневники","Шелепихинская набережная","34к3зд6","Шелепиха",""
"Chase R.E.S.","real_estate_agent","https://www.cian.ru/rent/flat/307873519/","Москва","rent","flat","15","40","1","40.2","170000","0","Хорошевский","Ленинградский проспект","37/4","ЦСКА",""
"Элитный Дом","real_estate_agent","https://www.cian.ru/rent/flat/315108283/","Москва","rent","flat","14","30","3","70","180000","0","Можайский"," Петра Алексеева","14","Давыдково",""
"ID 130734918","homeowner","https://www.cian.ru/rent/flat/317294606/","Москва","rent","flat","4","8","3","84.1","180000","0","Гагаринский"," Вавилова","54к4","Академическая",""
"ID 14083120","realtor","https://www.cian.ru/rent/flat/317359197/","Москва","rent","flat","4","10","3","59.6","170000","0","Хорошево-Мневники"," Нижние Мневники","9","Терехово ",""
"Профит","real_estate_agent","https://www.cian.ru/rent/flat/270287293/","Москва","rent","flat","22","25","2","77","175000","0","Войковский"," Адмирала Макарова","6Бк1","Водный стадион",""
"Las Vegas","real_estate_agent","https://www.cian.ru/rent/flat/317851181/","Москва","rent","flat","8","16","2","74","180000","0","Замоскворечье","Мытная ","7с1","Серпуховская",""
"EstateLiga","real_estate_agent","https://www.cian.ru/rent/flat/315875605/","Москва","rent","flat","8","16","2","54","180000","0","Даниловский"," Архитектора Щусева","4к2","ЗИЛ",""
"ID 109889025","realtor","https://www.cian.ru/rent/flat/317719175/","Москва","rent","flat","24","46","2","70","180000","0","Бутырский","Новодмитровская ","2к5","Дмитровская",""
"ID 130964796","homeowner","https://www.cian.ru/rent/flat/317422159/","Москва","rent","flat","4","19","2","54","165000","0","Даниловский"," Архитектора Щусева","5к2","ЗИЛ",""
"ID 10489468","realtor","https://www.cian.ru/rent/flat/316095168/","Москва","rent","flat","3","28","3","148","180000","0","Тропарево-Никулино","проспект Вернадского","105к4","Юго-Западная",""
"Capital Mars","real_estate_agent","https://www.cian.ru/rent/flat/317614571/","Москва","rent","flat","24","30","3","120","175000","0","Аэропорт","Ленинградский проспект","76К4","Сокол",""
